"1006380"	"76748642"	"ずっと"	"ずっと"	"- continuously in some state (for a long time, distance); throughout; all along; the whole time; all the way
- much (better, etc.); by far; far and away
- far away; long ago
- direct; straight"	"[""known""]"	"200"	"2"	"1740644569"	"[1]"
"1580650"	"3133634783"	"人々"	"ひとびと"	"- people; men and women
- each person; everybody"	"[""new""]"	"900"	""	""	"[2]"
"1335750"	"426196960"	"重い"	"おもい"	"- heavy; weighty
- heavy (feeling); depressed; gloomy; blue; uneasy
- slow; sluggish; lumbering; ponderous; clumsy
- important (position, responsibility, etc.); serious; grave
- serious (punishment, illness, etc.); severe; critical
- solid; established; dignified; sensible"	"[""known""]"	"500"	"3"	"1740335017"	"[4]"
"1593430"	"1721540291"	"こもる"	"こもる"	"- to shut oneself in (e.g. one's room); to be confined in; to seclude oneself; to hide away; to stay inside (one's shell)
- to be filled with (emotion, enthusiasm, etc.)
- to fill the room (of a gas, smell, etc.); to be heavy with (e.g. smoke); to be stuffy; to be dense
- to be muffled (e.g. voice)
- to hold (a castle, fortress, etc.)
- to confine oneself in a temple to pray"	"[""new""]"	"2800"	""	""	"[1]"
"1579070"	"351558918"	"こいつ"	"こいつ"	"- he; she; this fellow; this guy; this person
- this; this one; this thing
- Hey, you!; You bastard!; Damn you!"	"[""known""]"	"700"	"3"	"1739879277"	"[9]"
"2153610"	"2220057791"	"自然体"	"しぜんたい"	"- natural posture (esp. in judo); natural stance
- natural attitude; relaxed manner; calm manner"	"[""locked"" ""new""]"	"16300"	""	""	"[1]"
"1549340"	"1720840685"	"嵐"	"あらし"	"- storm; tempest
- uproar; hullabaloo; storm (e.g. of protest); winds (e.g. of change)"	"[""new""]"	"3500"	""	""	"[1]"
"1232090"	"1613679161"	"巨人"	"きょじん"	"- giant; great man
- Tokyo Giants (baseball team)"	"[""new""]"	"5000"	""	""	"[2]"
"1355850"	"332236351"	"場所"	"ばしょ"	"- place; location; spot; position
- room; space
- basho; wrestling tournament"	"[""new""]"	"200"	""	""	"[3]"
"1203100"	"2783508710"	"貝"	"かい"	"- shellfish
- seashell; shell"	"[""new""]"	"10300"	""	""	"[1]"
"1228560"	"1957619450"	"急"	"きゅう"	"- sudden; abrupt; unexpected
- urgent; pressing
- steep; sharp; precipitous
- rapid; swift; fast
- emergency; crisis; danger
- urgency; hurrying; haste
- (in gagaku or noh) end of a song"	"[""known""]"	"400"	"3"	"1740615858"	"[5]"
"1371260"	"1960654445"	"水"	"みず"	"- water (esp. cool, fresh water, e.g. drinking water)
- fluid (esp. in an animal tissue); liquid
- flood; floodwaters
- water offered to wrestlers just prior to a bout
- break granted to wrestlers engaged in a prolonged bout"	"[""known""]"	"400"	"3"	"1740980955"	"[1]"
"1982210"	"2221067106"	"そういえば"	"そういえば"	"- now that you mention it; come to think of it; that reminds me; on that subject; speaking of which"	"[""learning""]"	"800"	"1"	"1739437577"	"[7]"
"1562300"	"1193302916"	"話しかける"	"はなしかける"	"- to address (someone); to accost a person; to talk (to someone)
- to begin to talk; to start a conversation"	"[""new""]"	"1500"	""	""	"[1]"
"1505390"	"4249034617"	"文字"	"もじ"	"- letter (of alphabet); character
- writing"	"[""new""]"	"1700"	""	""	"[1]"
"1012500"	"3723557127"	"もし"	"もし"	"- if; in case; supposing"	"[""known""]"	"300"	"2"	"1740082536"	"[1]"
"1559230"	"2650105085"	"連"	"れん"	"- two reams (of paper); 1000 sheets (of paper)
- stanza; verse
- tribe (in taxonomy)
- forecast (bet); bet which predicts the top 2 finishers (i.e. quinella or perfecta bet)
- party; company; group; set
- things strung in a line, e.g. pearls, dried fish, spans of a bridge, etc.
- falcon"	"[""new""]"	"6200"	""	""	"[1]"
"1188950"	"2336175470"	"何時間"	"なんじかん"	"- how many hours?"	"[""locked"" ""new""]"	"7800"	""	""	"[1]"
"1001200"	"3941299963"	"おい"	"おい"	"- hey!; oi!; ahoy!
- I; me"	"[""known""]"	"600"	"4"	"1744374617"	"[26]"
"1604550"	"2852903145"	"見つかる"	"みつかる"	"- to be found; to be discovered"	"[""known""]"	"500"	"4"	"1743402799"	"[2]"
"1008950"	"195385567"	"どうせ"	"どうせ"	"- anyhow; in any case; at any rate; after all; at all; no matter what
- at best; at most"	"[""learning""]"	"900"	"1"	"1739811665"	"[7]"
"1983930"	"998536325"	"ボコボコ"	"ボコボコ"	"- with a burble
- hollow (sounding)
- holey; full of holes or dents; lumpy; bumpy
- viciously beating; hitting and kicking repeatedly"	"[""new""]"	"13100"	""	""	"[1]"
"1512610"	"3375793340"	"便利"	"べんり"	"- convenient; handy; useful"	"[""new""]"	"2600"	""	""	"[1]"
"2773260"	"851160296"	"しゃ"	"しゃ"	"- car; vehicle"	"[""new""]"	"13700"	""	""	"[1]"
"1043170"	"1603500499"	"ギャンブル"	"ギャンブル"	"- gambling"	"[""new""]"	"14800"	""	""	"[1]"
